scan 179 window-fermat-catalan | last 4 of 8 rounds gained 0, 0, 0, 0 checked results in 32 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 180 window-generalized-riemann-hypothesis@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 32 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 181 window-artin-primitive-root@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 33 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 182 window-schinzel-hypothesis-h@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 34 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 183 window-legendre@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 34 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 184 window-oppermann@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 35 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 185 schinzel-13n | last 4 of 7 rounds gained 223, 262, 289, 293 checked results in 298 s | UNKNOWN None | no untried move for any open target | new 223 moves 540 dropped 0 refused 12
scan 186 window-gauss-circle@4 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 38 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 187 schinzel-10n | last 4 of 7 rounds gained 279, 318, 348, 353 checked results in 336 s | UNKNOWN None | no untried move for any open target | new 279 moves 703 dropped 0 refused 183
scan 188 window-prime-k-tuples@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 39 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 189 window-twin-primes@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 39 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 190 window-sophie-germain@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 40 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 191 window-wieferich-infinitude@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 41 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 192 window-lehmer-totient@2 | last 4 of 6 rounds gained 0, 0, 0, 0 checked results in 43 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 193 window-polignac@2 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 45 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 194 window-landau-n2-plus-1@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 49 s | UNKNOWN None | no untried move for any open target | new 0 moves 2 dropped 0 refused 0
scan 195 window-andrica@3 | last 4 of 5 rounds gained 0, 0, 0, 0 checked results in 49 s | CHECKED_RESEARCH found | goal settled by checked results | new 0 moves 0 dropped 0 refused 0
scan 196 schinzel-11n | last 4 of 7 rounds gained 104, 143, 167, 163 checked results in 373 s | UNKNOWN None | no untried move for any open target | new 102 moves 299 dropped 0 refused 62
